AMOUNT;p1_Fraud;p2_Fraud;p3_Fraud;p4_Fraud;p5_Fraud;CLASS
3000;0.4640;0.7640;0.8764;0.5213;0.9640;F
1264;0.6250;0.7250;0.4750;0.5083;0.9250;G
58000;0.2067;0.3480;0.0480;0.2827;0.2480;G
83150;0.3008;0.4610;0.3282;0.3203;0.3610;G
1900;0.1958;0.3350;0.2136;0.2783;0.2350;G
27000;0.1933;0.3320;0.2109;0.2773;0.2320;G
;0.6820;0.7820;0.5320;0.5273;0.9820;G
23542.8300;0.2575;0.4090;0.2809;0.3030;0.3090;G
1200;0.3733;0.2480;0.4073;0.3493;0.4480;G
1600;0.4600;0.7600;0.8727;0.5200;0.9600;F
85800;0.3008;0.4610;0.3282;0.3203;0.3610;G
0;0.4910;0.7910;0.9009;0.5303;0.9910;F
71.8900;0.6680;0.7680;0.5180;0.5227;0.9680;G
0;0.6570;0.7570;0.8700;0.9570;0.9570;U
2100;0.3500;0.2200;0.3818;0.3400;0.4200;G
85800;0.3008;0.4610;0.3282;0.3203;0.3610;G
23500;0.3050;0.4050;0.1550;0.4017;0.6050;G
84720;0.6900;0.7900;0.5400;0.5300;0.9900;G
285000;0.3967;0.6760;0.2760;0.3587;0.4760;F
3000;0.6690;0.7690;0.5190;0.5230;0.9690;G
2500;0.6580;0.7580;0.5080;0.5193;0.9580;G
3000;0.6930;0.7930;0.9027;0.5310;0.9930;F
569.7500;0.6200;0.7200;0.4700;0.5067;0.9200;G
2900;0.6930;0.7930;0.9027;0.5310;0.9930;F
2000;0.2700;0.4240;0.2945;0.3080;0.3240;G
;0.6750;0.7750;0.8864;0.9750;0.9750;U
123374.0600;0.6690;0.7690;0.5190;0.5230;0.9690;G
;0.6600;0.7600;0.8727;0.9600;0.9600;U
1;0.3600;0.2320;0.3927;0.3440;0.4320;G
173;0.6900;0.7900;0.5400;0.5300;0.9900;G
1404.7500;0.2800;0.3800;0.5273;0.3933;0.5800;F
1400;0.6330;0.7330;0.8482;0.5110;0.9330;F
3000;0.6610;0.7610;0.5110;0.5203;0.9610;G
500;0.6530;0.7530;0.5030;0.5177;0.9530;G
200;0.3658;0.2390;0.3991;0.3463;0.4390;G
;0.1592;0.2910;0.1736;0.2637;0.1910;G
3000;0.4440;0.7440;0.8582;0.5147;0.9440;F
1000;0.3970;0.6970;0.8155;0.4990;0.8970;F
569.7500;0.6610;0.7610;0.5110;0.5203;0.9610;G
569.7500;0.6900;0.7900;0.5400;0.5300;0.9900;G
;0.6880;0.7880;0.5380;0.9880;0.9880;G
745187.5100;0.4800;0.7800;0.8909;0.5267;0.9800;F
37350;0.2617;0.4140;0.2855;0.3047;0.3140;G
;0.6830;0.7830;0.8936;0.9830;0.9830;U
1000;0.4550;0.7550;0.8682;0.5183;0.9550;F
0;0.3108;0.4730;0.1730;0.3243;0.3730;G
3000;0.4750;0.7750;0.8864;0.5250;0.9750;F
3000;0.6610;0.7610;0.5110;0.5203;0.9610;G
1870;0.3650;0.4650;0.2150;0.4217;0.6650;G
2860;0.2440;0.3440;0.4945;0.3813;0.5440;G
1000;0.6900;0.7900;0.9000;0.5300;0.9900;F
1210;0.2440;0.3440;0.4945;0.3813;0.5440;G
3000;0.6910;0.7910;0.9009;0.5303;0.9910;F
79200;0.2983;0.4580;0.3255;0.3193;0.3580;G
1210;0.2440;0.3440;0.4945;0.3813;0.5440;G
0;0.6840;0.7840;0.5340;0.9840;0.9840;G
25000;0.0875;0.2050;0.0955;0.2350;0.1050;G
2186.9000;0.1620;0.4620;0.6018;0.4207;0.6620;F
2000;0.6920;0.7920;0.9018;0.5307;0.9920;F
5500;0.2440;0.3440;0.4945;0.3813;0.5440;G
11000;0.1125;0.2350;0.1227;0.2450;0.1350;G
77000;0.0633;0.1760;0.0691;0.2253;0.0760;G
1980;0.2460;0.3460;0.4964;0.3820;0.5460;G
422.9000;0.4125;0.2950;0.4500;0.3650;0.4950;F
27000;0.6950;0.7950;0.9045;0.5317;0.9950;F
2800;0.1508;0.2810;0.1645;0.2603;0.1810;G
1545723.0700;0.0825;0.1990;0.0900;0.2330;0.0990;G
12000;0.3850;0.4850;0.2350;0.4283;0.6850;G
14000;0.6590;0.7590;0.8718;0.9590;0.9590;U
2860;0.2460;0.3460;0.4964;0.3820;0.5460;G
76200;0.2983;0.4580;0.3255;0.3193;0.3580;G
3000;0.5050;0.6050;0.3550;0.4683;0.8050;G
14000;0.6850;0.7850;0.8955;0.9850;0.9850;U
1210;0.3470;0.4470;0.1970;0.4157;0.6470;G
3000;0.2310;0.5310;0.6645;0.4437;0.7310;F
41000;0.6910;0.7910;0.5410;0.5303;0.9910;G
3000;0.3390;0.6390;0.7627;0.4797;0.8390;F
2700;0.3410;0.4410;0.1910;0.4137;0.6410;G
1;0.4040;0.5040;0.2540;0.4347;0.7040;G
0;0.0708;0.1850;0.0773;0.2283;0.0850;G
7000;0.6900;0.7900;0.5400;0.5300;0.9900;G
2200;0.0642;0.1770;0.0700;0.2257;0.0770;G
2310;0.3410;0.4410;0.1910;0.4137;0.6410;G
500;0.6580;0.7580;0.5080;0.5193;0.9580;G
3000;0.6140;0.7140;0.4640;0.5047;0.9140;G
150;0.1908;0.3290;0.2082;0.2763;0.2290;G
3000;0.2220;0.3220;0.4745;0.3740;0.5220;F
697;0.2708;0.4250;0.2955;0.3083;0.3250;G
21055;0.6900;0.7900;0.5400;0.5300;0.9900;G
;0.3750;0.4750;0.2250;0.4250;0.6750;G
99;0.1950;0.3340;0.2127;0.2780;0.2340;G
3575;0.6770;0.7770;0.5270;0.5257;0.9770;G
500;0.6710;0.7710;0.5210;0.5237;0.9710;G
3000;0.5680;0.6680;0.7891;0.4893;0.8680;F
200;0.0325;0.1390;0.0355;0.2130;0.0390;G
;0.6930;0.7930;0.9027;0.5310;0.9930;F
3520;0.3410;0.4410;0.1910;0.4137;0.6410;G
25000;0.2070;0.3070;0.4609;0.3690;0.5070;G
3080;0.3410;0.4410;0.1910;0.4137;0.6410;G
236;0.6900;0.7900;0.9000;0.5300;0.9900;F
3000;0.6170;0.7170;0.4670;0.5057;0.9170;G
2860;0.3430;0.4430;0.1930;0.4143;0.6430;G
2900;0.4290;0.7290;0.8445;0.5097;0.9290;F
6710;0.3430;0.4430;0.1930;0.4143;0.6430;G
;0.2658;0.4190;0.2900;0.3063;0.3190;F
4290;0.3430;0.4430;0.1930;0.4143;0.6430;G
300;0.6900;0.7900;0.5400;0.5300;0.9900;G
;0.4460;0.7460;0.8600;0.5153;0.9460;F
3000;0.6170;0.7170;0.4670;0.5057;0.9170;G
990;0.2160;0.3160;0.4691;0.3720;0.5160;G
100;0.2025;0.3430;0.2209;0.2810;0.2430;G
;0.4060;0.7060;0.8236;0.5020;0.9060;F
;0.6920;0.7920;0.5420;0.5307;0.9920;G
438000;0.6930;0.7930;0.5430;0.5310;0.9930;G
;0.6910;0.7910;0.5410;0.5303;0.9910;G
;0.6630;0.7630;0.8755;0.9630;0.9630;F
3000;0.4720;0.7720;0.8836;0.5240;0.9720;F
4000;0.2458;0.3950;0.2682;0.2983;0.2950;G
3000;0.6350;0.7350;0.4850;0.5117;0.9350;G
1300;0.6550;0.7550;0.5050;0.5183;0.9550;G
;0.6910;0.7910;0.9009;0.5303;0.9910;F
2530;0.3410;0.4410;0.1910;0.4137;0.6410;G
100;0.2842;0.4410;0.3100;0.3137;0.3410;G
500;0.6950;0.7950;0.9045;0.5317;0.9950;F
6985;0.3410;0.4410;0.1910;0.4137;0.6410;G
1760;0.3720;0.4720;0.2220;0.4240;0.6720;G
0;0.5600;0.6600;0.4100;0.4867;0.8600;G
;0.5140;0.6140;0.3640;0.4713;0.8140;G
2;0.6910;0.7910;0.5410;0.5303;0.9910;G
1210;0.3410;0.4410;0.1910;0.4137;0.6410;G
76;0.3142;0.4770;0.3427;0.3257;0.3770;G
;0.5750;0.6750;0.4250;0.4917;0.8750;G
49;0.6920;0.7920;0.9018;0.5307;0.9920;F
3000;0.4880;0.7880;0.8982;0.5293;0.9880;F
2640;0.3410;0.4410;0.1910;0.4137;0.6410;G
117.3500;0.6900;0.7900;0.9000;0.5300;0.9900;F
6257.9300;0.2983;0.4580;0.3255;0.3193;0.3580;G
3000;0.6350;0.7350;0.4850;0.5117;0.9350;G
1540;0.3410;0.4410;0.1910;0.4137;0.6410;G
3000;0.3000;0.6000;0.7273;0.4667;0.8000;F
68000;0.3683;0.2420;0.4018;0.3473;0.4420;G
49999;0.6360;0.7360;0.4860;0.5120;0.9360;G
3000;0.6920;0.7920;0.9018;0.5307;0.9920;F
155000.1100;0.1092;0.2310;0.1191;0.2437;0.1310;G
3300;0.3410;0.4410;0.1910;0.4137;0.6410;G
439.1200;0.2100;0.3100;0.4636;0.3700;0.5100;F
19;0.6910;0.7910;0.5410;0.5303;0.9910;G
2200;0.3410;0.4410;0.1910;0.4137;0.6410;G
500;0.6930;0.7930;0.9027;0.5310;0.9930;F
8500;0.3740;0.4740;0.2240;0.4247;0.6740;G
22000;0.3850;0.2620;0.4200;0.3540;0.4620;G
4000;0.3730;0.4730;0.2230;0.4243;0.6730;G
149;0.6900;0.7900;0.5400;0.5300;0.9900;G
3000;0.6900;0.7900;0.9000;0.5300;0.9900;F
3000;0.6440;0.7440;0.4940;0.5147;0.9440;G
;0.6920;0.7920;0.5420;0.9920;0.9920;G
2000;0.3730;0.4730;0.2230;0.4243;0.6730;G
500;0.6810;0.7810;0.5310;0.5270;0.9810;G
500;0.6780;0.7780;0.5280;0.5260;0.9780;G
200;0.1208;0.2450;0.1318;0.2483;0.1450;G
2000;0.3730;0.4730;0.2230;0.4243;0.6730;G
3000;0.6400;0.7400;0.4900;0.5133;0.9400;G
500;0.6780;0.7780;0.5280;0.5260;0.9780;G
5006090;0.3517;0.2220;0.3836;0.3407;0.4220;G
2000;0.3792;0.2550;0.2550;0.3517;0.4550;G
0;0.2550;0.4060;0.2782;0.3020;0.3060;G
;0.6950;0.7950;0.5450;0.5317;0.9950;G
00;0.1950;0.3340;0.2127;0.2780;0.2340;G
2000;0.1650;0.2980;0.1800;0.2660;0.1980;G
1000;0.1208;0.2450;0.1318;0.2483;0.1450;G
500;0.6780;0.7780;0.5280;0.5260;0.9780;G
;0.2958;0.4550;0.3227;0.3183;0.3550;G
6153.5800;0.4290;0.7290;0.8445;0.5097;0.9290;F
500;0.6780;0.7780;0.5280;0.5260;0.9780;G
45000;0.3900;0.2680;0.4255;0.3560;0.4680;G
3000;0.6930;0.7930;0.9027;0.5310;0.9930;F
18200;0.6920;0.7920;0.5420;0.9920;0.9920;G
3000;0.2980;0.3980;0.5436;0.3993;0.5980;G
300;0.0567;0.1680;0.0618;0.2227;0.0680;G
4000;0.3875;0.2650;0.4227;0.3550;0.4650;G
200;0.3450;0.2140;0.3764;0.3380;0.4140;G
1000;0.3917;0.2700;0.4273;0.3567;0.4700;G
1000;0.3267;0.4920;0.3564;0.3307;0.3920;G
2000;0.4142;0.2970;0.2970;0.3657;0.4970;G
14800;0.4490;0.7490;0.8627;0.5163;0.9490;F
3668000;0.3400;0.2080;0.3709;0.3360;0.4080;G
700;0.0775;0.1930;0.0845;0.2310;0.0930;G
98.1800;0.0483;0.1580;0.0527;0.2193;0.0580;G
500;0.6900;0.7900;0.5400;0.5300;0.9900;G
1;0.1292;0.2550;0.1409;0.2517;0.1550;G
11600;0.3840;0.6840;0.8036;0.4947;0.8840;F
28949.6600;0.1000;0.2200;0.1091;0.2400;0.1200;F
3000;0.3200;0.4200;0.1700;0.4067;0.6200;G
3000;0.4750;0.7750;0.8864;0.5250;0.9750;F
28900;0.0700;0.2840;0.0764;0.2280;0.0840;F
3000;0.6920;0.7920;0.5420;0.5307;0.9920;G
330014.8300;0.3525;0.2230;0.3845;0.3410;0.4230;F
81898.1800;0.3200;0.4840;0.3491;0.3280;0.3840;F
445000;0.3883;0.2660;0.2660;0.3553;0.4660;G
360927.8500;0.2200;0.3200;0.4727;0.3733;0.5200;F
10262.9600;0.3592;0.2310;0.3918;0.3437;0.4310;F
2158.7000;0.3592;0.2310;0.3918;0.3437;0.4310;F
77000;0.6850;0.7850;0.8955;0.9850;0.9850;F
3000;0.6930;0.7930;0.5430;0.5310;0.9930;G
500;0.6810;0.7810;0.5310;0.5270;0.9810;G
3000;0.2900;0.5900;0.7182;0.4633;0.7900;F
3000;0.4550;0.7550;0.8682;0.5183;0.9550;F
7700;0.3490;0.4490;0.1990;0.4163;0.6490;G
;0.2390;0.3390;0.4900;0.3797;0.5390;F
2500;0.4080;0.5080;0.2580;0.4360;0.7080;G
3000;0.1860;0.4860;0.6236;0.4287;0.6860;F
;0.0192;0.1230;0.0209;0.2077;0.0230;F
;0.3060;0.4060;0.5509;0.4020;0.6060;F
;0.2408;0.3890;0.2627;0.2963;0.2890;F
58000;0.2067;0.3480;0.0480;0.2827;0.2480;G
;0.4025;0.2830;0.4391;0.3610;0.4830;F
3000;0.4040;0.7040;0.8218;0.5013;0.9040;F
3000;0.4920;0.7920;0.9018;0.5307;0.9920;F
3000;0.4900;0.7900;0.9000;0.5300;0.9900;F
92583.6900;0.0783;0.1940;0.0855;0.2313;0.0940;F
50295.8900;0.0650;0.1780;0.0709;0.2260;0.0780;G
27500;0.0717;0.1860;0.0782;0.2287;0.0860;G
3000;0.4570;0.7570;0.8700;0.5190;0.9570;F
96000;0.4100;0.5100;0.5100;0.4367;0.7100;F
2850;0.2817;0.4380;0.3073;0.3127;0.3380;G
7950;0.4900;0.7900;0.9000;0.5300;0.9900;F
49000;0.6910;0.7910;0.9009;0.9910;0.9910;F
3000;0.2900;0.3900;0.5364;0.3967;0.5900;F
3000;0.6930;0.7930;0.9027;0.5310;0.9930;F
0;0.1150;0.2380;0.1255;0.2460;0.1380;G
6000;0.3120;0.6120;0.7382;0.4707;0.8120;F
10652.8900;0.1208;0.2450;0.1318;0.2483;0.1450;G
32000;0.4900;0.7900;0.9000;0.5300;0.9900;F
23000;0.6930;0.7930;0.5430;0.5310;0.9930;G
85000;0.3250;0.4900;0.1900;0.3300;0.3900;G
1.2600;0.3480;0.4480;0.5891;0.4160;0.6480;F
3000;0.4530;0.7530;0.8664;0.5177;0.9530;F
8200;0.0075;0.1090;0.0082;0.2030;0.0090;G
271;0.6950;0.7950;0.9045;0.5317;0.9950;F
35000;0.4920;0.7920;0.9018;0.5307;0.9920;F
85000;0.3158;0.5790;0.1790;0.3263;0.3790;F
3000;0.4790;0.7790;0.8900;0.5263;0.9790;F
1900;0.4740;0.7740;0.8855;0.5247;0.9740;F
23000;0.6930;0.7930;0.5430;0.5310;0.9930;G
15000;0.4860;0.7860;0.8964;0.5287;0.9860;F
31000;0.6900;0.7900;0.9000;0.5300;0.9900;F
51000;0.3392;0.2070;0.3700;0.3357;0.4070;G
77967.8600;0.2530;0.5530;0.6845;0.4510;0.7530;F
;0.4910;0.7910;0.9009;0.5303;0.9910;F
;0.0783;0.1940;0.0855;0.2313;0.0940;G
29000;0.6900;0.7900;0.9000;0.5300;0.9900;F
36470;0.1908;0.3290;0.2082;0.2763;0.2290;G
15000;0.6910;0.7910;0.9009;0.5303;0.9910;F
3000;0.4610;0.7610;0.8736;0.5203;0.9610;F
7000;0.4840;0.7840;0.8945;0.5280;0.9840;F
1950;0.4740;0.7740;0.8855;0.5247;0.9740;F
46000;0.3483;0.2180;0.3800;0.3393;0.4180;G
1000.0300;0.1800;0.3160;0.1964;0.2720;0.2160;G
8900;0.6730;0.7730;0.5230;0.5243;0.9730;G
2662;0.1875;0.3250;0.2045;0.2750;0.2250;G
12000;0.0692;0.1830;0.0755;0.2277;0.0830;G
8950;0.4820;0.7820;0.8927;0.5273;0.9820;F
24000;0.3475;0.2170;0.3791;0.3390;0.4170;G
530.6800;0.0133;0.1160;0.0145;0.2053;0.0160;G
3000;0.3280;0.4280;0.5709;0.4093;0.6280;F
3000;0.4910;0.7910;0.9009;0.5303;0.9910;F
373.6900;0.2442;0.3930;0.2664;0.2977;0.2930;G
5000;0.2158;0.3590;0.2355;0.2863;0.2590;G
9000;0.4550;0.7550;0.8682;0.5183;0.9550;F
65.7000;0.1125;0.2350;0.1227;0.2450;0.1350;G
1147.0100;0.1875;0.3250;0.2045;0.2750;0.2250;G
7400;0.4380;0.7380;0.8527;0.5127;0.9380;F
318.4100;0.0492;0.1590;0.0536;0.2197;0.0590;G
160.8200;0.1875;0.3250;0.2045;0.2750;0.2250;G
30;0.1458;0.2750;0.1591;0.2583;0.1750;G
20.2400;0.1983;0.3380;0.2164;0.2793;0.2380;G
1000;0.6930;0.7930;0.9027;0.5310;0.9930;F
20;0.1458;0.2750;0.1591;0.2583;0.1750;G
21;0.2025;0.3430;0.2209;0.2810;0.2430;G
0;0.0542;0.1650;0.0591;0.2217;0.0650;G
20.2400;0.2058;0.3470;0.2245;0.2823;0.2470;G
14800;0.4280;0.7280;0.8436;0.5093;0.9280;F
180;0.0958;0.2150;0.1045;0.2383;0.1150;G
20.5000;0.2092;0.3510;0.2282;0.2837;0.2510;G
3000;0.4690;0.7690;0.8809;0.5230;0.9690;F
3000;0.5850;0.6850;0.8045;0.4950;0.8850;F
9000;0.4500;0.7500;0.8636;0.5167;0.9500;F
14800;0.4690;0.7690;0.8809;0.5230;0.9690;F
17000;0.2625;0.4150;0.2864;0.3050;0.3150;G
;0.4092;0.2910;0.4464;0.3637;0.4910;G
2990;0.6940;0.7940;0.9036;0.5313;0.9940;F
800;0.2092;0.3510;0.2282;0.2837;0.2510;G
3000;0.4640;0.7640;0.8764;0.5213;0.9640;F
1250;0.6940;0.7940;0.9036;0.5313;0.9940;F
3000;0.1800;0.3160;0.1964;0.2720;0.2160;G
99.9300;0.2092;0.3510;0.2282;0.2837;0.2510;G
0.8900;0.1675;0.3010;0.1827;0.2670;0.2010;G
0.7500;0.1675;0.3010;0.1827;0.2670;0.2010;G
3000;0.2550;0.4060;0.2782;0.3020;0.3060;G
2700;0.2292;0.3750;0.2500;0.2917;0.2750;G
131;0.2092;0.3510;0.2282;0.2837;0.2510;G
3000;0.4910;0.7910;0.9009;0.5303;0.9910;F
2672;0.1083;0.2300;0.1182;0.2433;0.1300;G
20.5000;0.2092;0.3510;0.2282;0.2837;0.2510;G
7000;0.4820;0.7820;0.8927;0.5273;0.9820;F
3000;0.4900;0.7900;0.9000;0.5300;0.9900;F
36600;0.2720;0.3720;0.5200;0.3907;0.5720;G
3000;0.3433;0.2120;0.3745;0.3373;0.4120;G
3000;0.3442;0.2130;0.3755;0.3377;0.4130;G
3000;0.3542;0.2250;0.3864;0.3417;0.4250;G
7000;0.4910;0.7910;0.9009;0.5303;0.9910;F
2000;0.3583;0.2300;0.3909;0.3433;0.4300;G
106858.6800;0.1083;0.2300;0.1182;0.2433;0.1300;G
7000;0.6930;0.7930;0.9027;0.5310;0.9930;F
1800;0.4030;0.7030;0.8209;0.5010;0.9030;F
247359.3600;0.2808;0.4370;0.3064;0.3123;0.3370;F
1870;0.4910;0.7910;0.9009;0.5303;0.9910;F
;0.3917;0.2700;0.4273;0.3567;0.4700;F
500;0.3925;0.2710;0.4282;0.3570;0.4710;F
0.8000;0.6830;0.7830;0.5330;0.5277;0.9830;G
0;0.3270;0.4270;0.4270;0.4090;0.6270;F
78508.5700;0.4058;0.2870;0.4427;0.3623;0.4870;F
0;0.2210;0.3210;0.3210;0.3737;0.5210;G
;0.2250;0.3700;0.2455;0.2900;0.2700;G
0.8000;0.6910;0.7910;0.5410;0.5303;0.9910;G
500;0.3550;0.4550;0.2050;0.4183;0.6550;G
9900;0.5510;0.6510;0.4010;0.4837;0.8510;G
5000;0.2275;0.3730;0.2482;0.2910;0.2730;G
9000;0.6930;0.7930;0.9027;0.5310;0.9930;F
;0.3525;0.2230;0.2230;0.3410;0.4230;G
0.8000;0.6930;0.7930;0.5430;0.5310;0.9930;G
9900;0.5510;0.6510;0.4010;0.4837;0.8510;G
9900;0.5790;0.6790;0.4290;0.4930;0.8790;G
3000;0.4860;0.7860;0.8964;0.5287;0.9860;F
100;0.2500;0.4000;0.2727;0.3000;0.3000;G
100;0.2500;0.4000;0.2727;0.3000;0.3000;G
;0.1142;0.2370;0.1245;0.2457;0.1370;G
00;0.2667;0.4200;0.2909;0.3067;0.3200;G
3000;0.3890;0.4890;0.2390;0.4297;0.6890;G
9900;0.5790;0.6790;0.4290;0.4930;0.8790;G
9900;0.5790;0.6790;0.4290;0.4930;0.8790;G
9900;0.5680;0.6680;0.4180;0.4893;0.8680;G
;0.2475;0.3970;0.2700;0.2990;0.2970;G
23140.8500;0.0192;0.1230;0.0209;0.2077;0.0230;G
9300;0.4000;0.2800;0.4364;0.3600;0.4800;G
;0.0300;0.1360;0.0327;0.2120;0.0360;G
0;0.3030;0.4030;0.1530;0.4010;0.6030;G
2500;0.4910;0.7910;0.9009;0.5303;0.9910;F
9300;0.5680;0.6680;0.4180;0.4893;0.8680;G
3904.0100;0.3190;0.4190;0.5627;0.4063;0.6190;F
5000;0.3683;0.2420;0.2420;0.3473;0.4420;G
3000;0.4530;0.7530;0.8664;0.5177;0.9530;F
10;0.3925;0.2710;0.4282;0.3570;0.4710;G
1000;0.1408;0.2690;0.1536;0.2563;0.1690;G
85000;0.2660;0.3660;0.3660;0.3887;0.5660;G
3000;0.6950;0.7950;0.9045;0.5317;0.9950;F
500;0.6930;0.7930;0.5430;0.5310;0.9930;G
1000;0.5690;0.6690;0.4190;0.4897;0.8690;G
1000;0.6320;0.7320;0.4820;0.5107;0.9320;G
702.2200;0.3558;0.2270;0.3882;0.3423;0.4270;F
600;0.4540;0.5540;0.3040;0.4513;0.7540;G
500;0.5800;0.6800;0.4300;0.4933;0.8800;G
3000;0.4840;0.7840;0.8945;0.5280;0.9840;F
250;0.3775;0.2530;0.4118;0.3510;0.4530;G
3000;0.4730;0.7730;0.8845;0.5243;0.9730;F
75;0.4008;0.2810;0.4373;0.3603;0.4810;F
21800;0.2790;0.5790;0.7082;0.4597;0.7790;F
28000;0.6900;0.7900;0.9000;0.9900;0.9900;F
25000;0.6740;0.7740;0.8855;0.9740;0.9740;F
9000;0.4850;0.7850;0.8955;0.5283;0.9850;F
15500;0.0867;0.2040;0.0945;0.2347;0.1040;G
;0.0667;0.1800;0.0727;0.2267;0.0800;G
21800;0.3970;0.6970;0.8155;0.4990;0.8970;F
3000;0.4330;0.7330;0.8482;0.5110;0.9330;F
6500;0.3258;0.4910;0.3555;0.3303;0.3910;G
10;0.4150;0.2980;0.4527;0.3660;0.4980;F
3000;0.4910;0.7910;0.9009;0.5303;0.9910;F
69000;0.6920;0.7920;0.5420;0.9920;0.9920;G
3000;0.2100;0.5100;0.6455;0.4367;0.7100;F
3000;0.6940;0.7940;0.9036;0.5313;0.9940;F
3000;0.3460;0.6460;0.7691;0.4820;0.8460;F
21800;0.6750;0.7750;0.8864;0.9750;0.9750;F
;0.3100;0.4720;0.3382;0.3240;0.3720;G
9500;0.3220;0.6220;0.7473;0.4740;0.8220;F
6400;0.2833;0.4400;0.1400;0.3133;0.3400;G
0;0.6550;0.7550;0.5050;0.9550;0.9550;G
16394;0.5650;0.6650;0.4150;0.4883;0.8650;G
2000;0.2690;0.5690;0.6991;0.4563;0.7690;F
22000;0.1670;0.4670;0.6064;0.4223;0.6670;F
22000;0.3180;0.6180;0.7436;0.4727;0.8180;F
22500;0.3170;0.6170;0.7427;0.4723;0.8170;F
200;0.0758;0.1910;0.0827;0.2303;0.0910;G
140;0.4150;0.7150;0.8318;0.5050;0.9150;F
69000;0.6930;0.7930;0.5430;0.5310;0.9930;G
3000;0.2560;0.5560;0.6873;0.4520;0.7560;F
89000;0.4092;0.2910;0.4464;0.3637;0.4910;G
9500;0.2560;0.5560;0.6873;0.4520;0.7560;F
0;0.6670;0.7670;0.5170;0.9670;0.9670;G
6880;0.6940;0.7940;0.9036;0.5313;0.9940;F
653.7900;0.0175;0.1210;0.0191;0.2070;0.0210;G
560;0.1567;0.2880;0.1709;0.2627;0.1880;G
10;0.5190;0.6190;0.3690;0.4730;0.8190;G
2500;0.3790;0.4790;0.2290;0.4263;0.6790;G
49999;0.6800;0.7800;0.5300;0.5267;0.9800;G
15000;0.6930;0.7930;0.5430;0.5310;0.9930;G
700;0.4470;0.5470;0.2970;0.4490;0.7470;G
1000;0.1710;0.4710;0.6100;0.4237;0.6710;F
3000;0.4920;0.7920;0.9018;0.5307;0.9920;F
3000;0.1610;0.4610;0.6009;0.4203;0.6610;F
1500;0.1058;0.2270;0.1155;0.2423;0.1270;G
3000;0.4920;0.5920;0.3420;0.4640;0.7920;G
3000;0.5980;0.6980;0.4480;0.4993;0.8980;G
2900;0.4910;0.7910;0.9009;0.5303;0.9910;F
3000;0.6780;0.7780;0.5280;0.5260;0.9780;G
3000;0.6800;0.7800;0.5300;0.5267;0.9800;G
100;0.3633;0.2360;0.3964;0.3453;0.4360;F
3000;0.6920;0.7920;0.5420;0.5307;0.9920;G
3000;0.6920;0.7920;0.5420;0.5307;0.9920;G
3000;0.1610;0.4610;0.6009;0.4203;0.6610;F
3000;0.4920;0.7920;0.9018;0.5307;0.9920;F
3000;0.4910;0.7910;0.9009;0.5303;0.9910;F
2950;0.6920;0.7920;0.5420;0.5307;0.9920;G
2950;0.6920;0.7920;0.5420;0.5307;0.9920;G
2950;0.6940;0.7940;0.5440;0.5313;0.9940;G
2950;0.6940;0.7940;0.5440;0.5313;0.9940;G
3000;0.6930;0.7930;0.9027;0.5310;0.9930;F
2950;0.6940;0.7940;0.5440;0.5313;0.9940;G
;0.4042;0.2850;0.4409;0.3617;0.4850;F
22500;0.4260;0.7260;0.8418;0.5087;0.9260;F
1000;0.0408;0.1490;0.0445;0.2163;0.0490;G
;0.0633;0.1760;0.0691;0.2253;0.0760;G
44920.2600;0.1758;0.3110;0.1918;0.2703;0.2110;G
3000;0.1990;0.4990;0.6355;0.4330;0.6990;F
3000;0.2000;0.5000;0.6364;0.4333;0.7000;F
154;0.2075;0.3490;0.2264;0.2830;0.2490;G
5000;0.4910;0.7910;0.9009;0.5303;0.9910;F
4000;0.3370;0.6370;0.7609;0.4790;0.8370;F
5000;0.5650;0.6650;0.4150;0.4883;0.8650;G
3000;0.4920;0.7920;0.9018;0.5307;0.9920;F
45000;0.6870;0.7870;0.5370;0.5290;0.9870;G
;0.2950;0.3950;0.5409;0.3983;0.5950;F
2000;0.4920;0.7920;0.9018;0.5307;0.9920;F
3000;0.3142;0.4770;0.1770;0.3257;0.3770;G
720;0.1730;0.4730;0.6118;0.4243;0.6730;F
;0.1342;0.2610;0.1464;0.2537;0.1610;G
130;0.4650;0.7650;0.8773;0.5217;0.9650;F
140;0.4850;0.7850;0.8955;0.5283;0.9850;F
;0.0483;0.1580;0.0527;0.2193;0.0580;G
2000;0.6760;0.7760;0.5260;0.5253;0.9760;G
1585.2200;0.1620;0.4620;0.6018;0.4207;0.6620;F
0;0.5850;0.6850;0.4350;0.4950;0.8850;G
1900;0.4710;0.7710;0.8827;0.5237;0.9710;F
45000;0.6870;0.7870;0.5370;0.5290;0.9870;G
36500;0.1208;0.2450;0.1318;0.2483;0.1450;G
1000;0.1350;0.2620;0.1473;0.2540;0.1620;G
106823.2000;0.1592;0.2910;0.1736;0.2637;0.1910;G
19000;0.0608;0.1730;0.0664;0.2243;0.0730;G
1900;0.4880;0.7880;0.8982;0.5293;0.9880;F
;0.0817;0.1980;0.0891;0.2327;0.0980;G
550;0.6940;0.7940;0.9036;0.5313;0.9940;F
550;0.6940;0.7940;0.9036;0.5313;0.9940;F
106813.6900;0.4150;0.2980;0.2980;0.3660;0.4980;G
85000;0.4050;0.2860;0.2860;0.3620;0.4860;G
1900;0.4920;0.7920;0.9018;0.5307;0.9920;F
200;0.2125;0.3550;0.2318;0.2850;0.2550;G
